CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Total Spend,Last Purchase Days Ago,Churn
CUST_0001,56,Male,21,5,1,8,Basic,1872.67,231,0
CUST_0002,69,Female,5,16,8,26,Standard,150.69,291,1
CUST_0003,46,Female,48,13,6,2,Basic,3168.25,161,0
CUST_0004,32,Male,20,7,2,1,Basic,3549.18,161,0
CUST_0005,60,Female,37,26,2,6,Basic,3288.93,78,0
CUST_0006,25,Female,3,20,6,4,Premium,4842.53,38,0
CUST_0007,38,Female,44,17,4,20,Basic,4328.56,28,0
CUST_0008,56,Male,33,3,9,25,Basic,2299.28,100,1
CUST_0009,36,Female,53,5,5,4,Basic,408.0,294,0
CUST_0010,40,Female,9,19,7,19,Premium,2432.69,124,1
CUST_0011,28,Male,9,12,8,12,Premium,3477.3,92,0
CUST_0012,28,Male,4,29,0,20,Premium,3077.78,255,1
CUST_0013,41,Female,35,27,2,28,Basic,2736.87,97,1
CUST_0014,53,Female,17,7,6,19,Standard,2397.21,6,1
CUST_0015,57,Male,34,28,5,28,Standard,1539.43,169,1
CUST_0016,41,Male,24,9,6,5,Standard,1459.0,271,0
CUST_0017,20,Female,32,28,7,19,Basic,2551.13,108,1
CUST_0018,39,Female,1,6,5,17,Standard,886.96,299,0
CUST_0019,19,Female,8,29,2,24,Standard,1769.36,47,0
CUST_0020,41,Female,45,26,1,1,Standard,1687.5,99,0
CUST_0021,61,Male,23,17,6,24,Basic,2976.95,14,1
CUST_0022,47,Female,47,16,0,25,Standard,426.74,194,1
CUST_0023,55,Female,40,23,2,5,Standard,4165.38,157,0
CUST_0024,19,Male,12,3,3,8,Basic,2855.65,154,0
CUST_0025,38,Female,54,21,0,24,Premium,3387.05,115,0
CUST_0026,50,Male,12,26,4,2,Standard,3545.16,258,0
CUST_0027,29,Female,46,4,9,0,Premium,1528.27,145,1
CUST_0028,39,Female,47,10,2,0,Standard,2404.82,291,0
CUST_0029,61,Male,15,5,1,18,Basic,4785.61,10,0
CUST_0030,42,Male,41,21,2,4,Premium,3856.86,214,0
CUST_0031,66,Female,19,22,7,12,Premium,4850.83,233,0
CUST_0032,44,Female,26,10,5,18,Premium,3756.65,171,1
CUST_0033,59,Female,52,12,6,11,Premium,960.44,21,0
CUST_0034,45,Male,29,10,5,15,Standard,416.23,15,1
CUST_0035,33,Female,22,29,5,24,Standard,2930.54,126,1
CUST_0036,32,Male,40,13,2,24,Premium,1853.29,341,0
CUST_0037,64,Male,21,11,7,18,Standard,1449.74,341,1
CUST_0038,68,Female,51,22,6,2,Premium,4055.33,213,0
CUST_0039,61,Male,38,16,6,11,Premium,1898.27,188,0
CUST_0040,69,Female,20,8,5,29,Basic,1653.3,172,1
CUST_0041,20,Female,57,8,4,4,Premium,4264.94,247,0
CUST_0042,54,Female,29,27,9,1,Standard,4246.81,5,0
CUST_0043,68,Female,51,25,7,21,Premium,1846.2,231,1
CUST_0044,24,Female,4,8,4,6,Basic,4179.24,201,0
CUST_0045,38,Male,55,13,8,12,Standard,4268.81,149,1
CUST_0046,26,Male,7,27,8,24,Basic,2177.26,72,1
CUST_0047,56,Female,28,2,0,14,Basic,425.72,226,0
CUST_0048,35,Female,28,12,5,21,Premium,107.76,74,0
CUST_0049,21,Male,4,10,6,2,Basic,2664.13,307,0
CUST_0050,42,Male,22,12,2,27,Basic,1785.97,169,1
CUST_0051,31,Male,12,11,6,20,Standard,4985.95,249,0
CUST_0052,67,Male,45,15,6,19,Basic,3884.81,280,0
CUST_0053,26,Female,3,16,1,4,Premium,3830.25,152,0
CUST_0054,43,Female,22,17,6,23,Premium,4780.69,224,1
CUST_0055,19,Male,44,26,0,7,Premium,4449.85,225,0
CUST_0056,37,Female,2,2,4,21,Basic,1659.12,38,1
CUST_0057,45,Male,24,18,8,0,Standard,913.34,44,0
CUST_0058,64,Female,34,12,6,7,Premium,3754.87,185,0
CUST_0059,24,Male,27,19,6,23,Basic,1953.54,241,1
CUST_0060,61,Female,55,26,1,17,Premium,2418.55,331,0
CUST_0061,25,Male,41,23,7,19,Premium,3188.95,351,1
CUST_0062,64,Male,1,18,2,27,Standard,4548.58,210,0
CUST_0063,52,Female,8,17,7,15,Premium,2153.53,23,1
CUST_0064,31,Male,23,6,2,17,Standard,3938.25,124,0
